,date,content,id,user,lang
0,2021-05-06 18:24:01+00:00,"“Desde que se descubre el genoma del coronavirus hasta que tenemos la primera vacuna pasan 333 días. Desde ese momento hasta que la vacuna llega a Ghana, solo 2 meses y medio” @rvilasanjuan sobre la geopolítica de la salud en #CIDOBInconversation 
https://t.co/oLmDA2b40w",1390371791407927306,"{'username': 'CrisSerranoG', 'displayname': 'Cristina Serrano', 'id': 80525594, 'description': 'Communications Officer at @CidobBarcelona', 'rawDescription': 'Communications Officer at @CidobBarcelona', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 10, 7, 8, 13, 50, tzinfo=datetime.timezone.utc), 'followersCount': 802, 'friendsCount': 894, 'statusesCount': 2281, 'favouritesCount': 807, 'listedCount': 32, 'mediaCount': 231, 'location': 'Barcelona', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1032678771600642049/udREacPH_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/80525594/1539874526'}",es
1,2021-05-06 18:14:52+00:00,@Mjgc1234 @oriolmitja No crec que la vacunin amb AZ pq ara de moment aquesta vacuna només la posen als més grans de 60 anys. Que estigui https://t.co/M3PmxWjrjK.,1390369488374280195,"{'username': 'annasegoviac', 'displayname': 'Anna Segovia', 'id': 454429643, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2012, 1, 4, 0, 13, 56, tzinfo=datetime.timezone.utc), 'followersCount': 37, 'friendsCount': 305, 'statusesCount': 125, 'favouritesCount': 2252, 'listedCount': 0, 'mediaCount': 3, 'location': 'Barcelona', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None}",ca
2,2021-05-06 18:14:40+00:00,"@TxarlyCat @epibernat @Sicrit_ Alguns tenien d haver estat quan va comença tv3. Llavors el catanyol era el que es parlava. De fet encara a Bcn es parla un català de pena. Incloure mots en català es el que toca. D altre bande entenc que sorprengui, s apropa mes al angles vaccine, que al espanyol vacuna.",1390369438470483969,"{'username': 'TxusAT', 'displayname': 'jaenhihaprou!!', 'id': 2920382759, 'description': 'Ací estem.', 'rawDescription': 'Ací estem.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2014, 12, 13, 21, 46, 40, tzinfo=datetime.timezone.utc), 'followersCount': 187, 'friendsCount': 812, 'statusesCount': 3743, 'favouritesCount': 5022, 'listedCount': 4, 'mediaCount': 68, 'location': 'Barcelona, Espanya', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/710439129708896257/Vc4QNzxp_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2920382759/1458216490'}",ca
3,2021-05-06 18:09:38+00:00,"@peru21noticias Y? Cuál es el problema, seguir vacunando, la vacuna es para todos los que viven y están empadronats en Perú, venga a tirar palante...",1390368170020573186,"{'username': 'tushoco', 'displayname': 'Nessum Dorma', 'id': 112530924, 'description': 'Técnico ofimático y telecomunicaciones especialista en sistema WIMAX , satélite, radio y FTTH, me gusta la ópera de Puccini y Verdi.', 'rawDescription': 'Técnico ofimático y telecomunicaciones especialista en sistema WIMAX , satélite, radio y FTTH, me gusta la ópera de Puccini y Verdi.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 2, 8, 20, 59, 29, tzinfo=datetime.timezone.utc), 'followersCount': 25, 'friendsCount': 525, 'statusesCount': 1806, 'favouritesCount': 151, 'listedCount': 0, 'mediaCount': 20, 'location': 'Barcelona, España', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1380442958932115456/4Tu7511k_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/112530924/1412202088'}",es
4,2021-05-06 18:03:23+00:00,"@paulxl @billpuerta79 Mis padres igual, sin vacunar, y además viven conmigo desde hace poco, otra comunidad... Total, sin vacuna.",1390366599106994176,"{'username': 'TaliaNieto', 'displayname': 'Talía🎭 🍏', 'id': 309223740, 'description': 'Yo misma...🎀', 'rawDescription': 'Yo misma...🎀', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 6, 1, 18, 54, 4, tzinfo=datetime.timezone.utc), 'followersCount': 1542, 'friendsCount': 2083, 'statusesCount': 260861, 'favouritesCount': 165639, 'listedCount': 67, 'mediaCount': 6886, 'location': 'Barcelona ', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/971357243919798273/gdlv8b9j_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/309223740/1425159513'}",es
5,2021-05-06 17:58:01+00:00,@RaiLopezCalvet @FredRepCat @Sicrit_ Ho sento però una cosa és parlar correctament i l'altra l'esnobisme lingüístic. Vacuna i vaccí son sinònims i correctes (diccionari IEC). Tots hem dit sempre vacuna i vacunar i no vaccí i vaccinar que s'ha posat de moda. Però cadascú qué digui el que vulgui.,1390365249249947653,"{'username': 'marce_puig', 'displayname': 'Francesc Marcé Puig', 'id': 4624321887, 'description': 'Doctor en psicología. Professor titular de la UB durant 31 anys. Jubilat. El blog en el móvil: pasar a visión para web para acceder a traducción y índice.', 'rawDescription': 'Doctor en psicología. Professor titular de la UB durant 31 anys. Jubilat. El blog en el móvil: pasar a visión para web para acceder a traducción y índice.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2015, 12, 27, 19, 0, 21, tzinfo=datetime.timezone.utc), 'followersCount': 1510, 'friendsCount': 1181, 'statusesCount': 7222, 'favouritesCount': 3420, 'listedCount': 2, 'mediaCount': 229, 'location': 'Barcelona, Catalunya', 'protected': False, 'linkUrl': 'http://francescmarcepuig.blogspot.com', 'linkTcourl': 'https://t.co/rdPuz2apPB', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1348451317258330112/JE182bXf_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/4624321887/1556081873'}",ca
6,2021-05-06 17:57:07+00:00,@AlecchiMan La vacuna del covld ha afectado a fetucchini,1390365021318811649,"{'username': 'steff__26', 'displayname': 'Steff🦋💫', 'id': 3075051657, 'description': '𝕭𝕮𝕹💜💫\nAuronplay y los macarrones con queso son lo único que me hace feliz🥺\nQuiero ser el quinto Teletubbie🌻\nFCB🥰', 'rawDescription': '𝕭𝕮𝕹💜💫\nAuronplay y los macarrones con queso son lo único que me hace feliz🥺\nQuiero ser el quinto Teletubbie🌻\nFCB🥰', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2015, 3, 6, 15, 51, 3, tzinfo=datetime.timezone.utc), 'followersCount': 137, 'friendsCount': 342, 'statusesCount': 5903, 'favouritesCount': 25277, 'listedCount': 0, 'mediaCount': 476, 'location': 'Barcelona, Cataluña', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1389253971165028354/tkT-KQqR_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3075051657/1620058931'}",ca
7,2021-05-06 17:50:59+00:00,"@FelixMiroL Al meu marit si i molt bé, a mi, no, jo estic en aquella franja que no existim 🤣🤣🤣
Però avui he anat al metge i m'ha dit que de moment no me la posi encara que m'avisesin, no mentre no se'm curi el herpes, així que per una cosa o un altre, res de vacuna de moment 😜",1390363479132057604,"{'username': 'iaiavegana', 'displayname': 'Margarida Solà ❤️🦋🍀🐾', 'id': 945738739476811776, 'description': ""M'agrada cuinar i compartir les meves receptes veganes que podeu trobar aquí vegana.cat - Visca Catalunya lliure.❤️"", 'rawDescription': ""M'agrada cuinar i compartir les meves receptes veganes que podeu trobar aquí https://t.co/cK4xXPl6Kb - Visca Catalunya lliure.❤️"", 'descriptionUrls': [{'text': 'vegana.cat', 'url': 'http://vegana.cat', 'tcourl': 'https://t.co/cK4xXPl6Kb', 'indices': (77, 100)}], 'verified': False, 'created': datetime.datetime(2017, 12, 26, 19, 31, 1, tzinfo=datetime.timezone.utc), 'followersCount': 5895, 'friendsCount': 4785, 'statusesCount': 47344, 'favouritesCount': 184168, 'listedCount': 7, 'mediaCount': 6313, 'location': 'Sabadell - Catalunya', 'protected': False, 'linkUrl': 'http://www.vegana.cat', 'linkTcourl': 'https://t.co/Pczvi9pBR8', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1315924473644830720/aFHJ5H7T_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/945738739476811776/1604497331'}",ca
8,2021-05-06 17:45:02+00:00,@sebaga76 3000 muertos CON la vacuna no es lo mismo que 3000 muertos POR la vacuna,1390361981329289217,"{'username': 'peral_oscar', 'displayname': 'Oscar Peral', 'id': 1430768700, 'description': 'Médico de Familia. JMJ basketball supporter 💙🤍💜', 'rawDescription': 'Médico de Familia. JMJ basketball supporter 💙🤍💜', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 5, 15, 15, 35, 7, tzinfo=datetime.timezone.utc), 'followersCount': 170, 'friendsCount': 224, 'statusesCount': 633, 'favouritesCount': 6628, 'listedCount': 3, 'mediaCount': 17, 'location': 'Barcelona', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/732333958646640640/B0BobaEc_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1430768700/1471907397'}",es
9,2021-05-06 17:44:55+00:00,"@MartiJim7 Calen uns 200-300 components per fer una vacuna, però ara per ara el problema és que no hi ha fabriques ... cosa que sabiem fa 1 any ... la UE ho ha fet fatal !",1390361951239380993,"{'username': 'ealmirall', 'displayname': 'esteve almirall', 'id': 18512377, 'description': 'Passion for Innovation, AI & Smart Cities ::: Prof. & Dtr. Center for Innovation in Cities @esade - former CIO somewhere - love playing traverso & sax 🚀', 'rawDescription': 'Passion for Innovation, AI & Smart Cities ::: Prof. & Dtr. Center for Innovation in Cities @esade - former CIO somewhere - love playing traverso & sax 🚀', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2008, 12, 31, 18, 28, 4, tzinfo=datetime.timezone.utc), 'followersCount': 24676, 'friendsCount': 996, 'statusesCount': 13628, 'favouritesCount': 24150, 'listedCount': 277, 'mediaCount': 1167, 'location': 'Barcelona', 'protected': False, 'linkUrl': 'http://estevealmirall.com', 'linkTcourl': 'https://t.co/A7xUMlay9Z', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1255220113437069317/EEI8yBNW_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/18512377/1596645961'}",ca
