’,17658
️,6995
💉,4413,vacuna
”,3104
“,3094
😂,2127,risa
👇,1998,hilo
🤣,1724,risa
🏻,1548
🔴,1521
👉,1505
‍,1498
👏,1079,saludo
🤔,1015
▶,964
➡,835
🤦,760,desesperado
🦠,713
💪,706,fuerza
🏼,678
📌,610
⬇,603
✅,603
‘,599
♂,579,hombre
♀,569,mujer
🗣,555,comunicado
🇷,522
❤,460,amor
😷,457,enfermo
‼,433
✔,418
🇺,412
е,378
о,376
и,375
🔊,365
€,362
🤷,362,desconcertado
✍,362,escribir
🏽,360
😅,336,desconcertado
⃣,326
😉,316,guiño
а,311
🙏,311,porfavor
⚠,306
👍,301,bien
🇦,300
😡,285,enfadado
…,280
📻,279,informacion
с,273
•,272
🙄,266,curioso
🇪,265
❗,261
ⁿ,261
😱,253,horrorizado
✌,252
–,244
😳,211,sonrojado
😘,208,amor
🎗,205,lazo
📢,200,alerta
📰,200,informacion
ℹ,198,informacion
т,197
🌎,195,mundo
⁦,192
👩,191,mujer
📲,190
⚕,186,hospital
⁩,185
📍,183
😭,183,triste
🤪,180
😍,179,amor
ー,178
🚨,174,alerta
р,173
🔗,171
🎙,171
🥰,171,amor
🤡,164,payaso
❓,160
✨,157
😁,148
👌,147
🙌,146
😜,144,guiño
❌,144
😊,142,sonrojado
🇧,141
—,136
🇸,135
🏥,134,hospital
☢,128
🇨,127
к,125
🔬,125
🗞,121
🤗,121,sonrojado
📺,120
😔,120
⁣,115
🤮,114,asco
🤬,113,enfadado
☕,111,cafe
п,110
🧪,109
👨,108
🥳,108
😆,107
📸,107
ч,103
🇬,102
😬,102
📊,102
😤,101
✊,101
н,100
🤭,99
⤵,97
🥺,97
🎥,97
►,96
🔹,96
📣,96
в,91
👵,91
😏,90
🔥,89
🙈,89
д,88
🎶,88
😎,87
🏾,86
🧐,86
🤞,85
л,83
➕,82
🇮,82
😠,81
📞,81
▪,80
🗓,80
🥴,79
⚡,78
👀,77
💩,74
ш,74
😒,73
📝,72
г,72
🇳,71
🙃,70
👋,69
🔵,68
☎,68
ь,67
💜,67
ا,67
🌏,66
👴,66
⏰,65
😢,64
🤩,64
у,63
🔸,62
б,61
📹,61
🇩,61
💻,61
ю,60
🌍,60
м,59
📆,59
я,58
🏿,58
ل,58
⠀,58
🔺,58
🙋,57
⁉,57
🇻,56
😃,54
💙,54
🤧,54
😓,53
🇱,53
​,53
📅,52
💃,52
🤨,52
💊,52
🧑,51
🤯,50
💬,49
🔝,49
🇲,48
😩,48
𝗮,48
ο,48
😀,47
♥,47
📈,47
☝,47
ي,46
😞,46
🎧,46
👎,46
🎉,46
С,45
⏩,45
😄,45
🏫,44
🙂,43
☑,43
☠,42
🇴,42
🆕,42
👈,41
🌹,41
𝐚,41
🎯,41
🔘,41
⭐,40
🧬,40
з,40
ᴀ,40
🤰,40
🩺,40
🟢,39
📷,38
🗨,38
📩,38
📱,37
🖕,37
†,37
🌈,36
👮,36
🕯,35
В,35
🔻,35
𝗻,35
🤝,35
🧓,35
Ψ,35
👥,34
𝗶,34
✈,34
💰,33
🇹,33
😖,33
И,32
𝗲,32
❄,32
О,31
🧼,31
👑,31
→,31
🤢,30
Д,30
ر,30
✏,30
👁,30
ن,30
ц,29
💥,29
😲,29
🤒,29
🛑,29
⛔,29
Р,28
🔽,28
👊,28
📉,28
🎵,28
￼,28
μ,27
🤓,27
و,27
😰,27
🌐,27
💨,27
☹,27
